gcc -c archivo.c -o archivo.o 
gcc -c ciudades.c -o ciudades.o 
gcc -c main.c -o main.o 
gcc -o main archivo.o ciudades.o main.o -lm
./main
2690,A,25617
25617,B,40043
40043,C,16501
16501,B,9281
9281,B,38245
38245,D,11664
11664,B,21985
21985,B,20907
20907,B,12622
12622,B,4320
4320,A,1372
1372,C,16479
16479,C,24646
24646,D,3348
3348,B,1543
1543,B,28891
28891,A,27560
27560,D,8433
8433,C,9894
9894,D,21539
21539,D,5172
5172,D,2788
2788,D,33336
33336,B,602
602,A,11355
11355,B,32015
32015,B,14080
14080,C,35247
35247,B,37028
37028,C,8303
8303,B,37227
37227,B,21647
21647,D,7338
7338,A,12738
12738,D,30209
30209,A,4578
4578,D,23679
23679,A,11200
11200,C,24754
24754,A,35576
35576,B,14800
14800,C,25406
25406,D,11063
11063,D,661
661,B,28030
28030,A,11883
11883,A,26597
26597,C,14591
14591,D,19585
19585,C,35756
35756,B,35387
35387,C,24025
24025,C,37812
37812,A,27719
27719,D,22465
22465,C,8180
8180,B,18732
18732,A,35800
35800,B,2424
2424,D,14755
14755,C,3118
3118,C,38885
38885,A,35647
35647,C,9712
9712,C,10635
10635,D,24855
24855,C,13543
13543,B,33553
33553,D,35301
35301,A,37533
37533,C,28123
28123,A,9111
9111,D,21941
21941,B,38427
38427,A,6813
6813,A,8972
8972,B,9323
9323,A,32636
32636,C,22797
22797,B,28138
28138,D,27387
27387,D,17179
17179,D,11167
11167,B,24192
24192,A,3900
3900,D,32853
32853,D,31602
31602,B,21854
21854,D,27647
27647,A,33257
33257,A,35830
35830,C,29994
29994,D,31135
31135,B,30472
30472,A,38926
38926,B,190
190,A,14330
14330,C,11481
11481,D,33537
33537,A,8627
8627,D,8008
8008,B,20661
20661,A,16953
16953,C,29152
29152,C,18082
18082,A,22978
